iter	Accuracy	MultiClass
79	0.8466621648	0.5484687206
80	0.8469033378	0.5442627
81	0.8483021416	0.5404730798
82	0.8489774262	0.5375632231
83	0.85100328	0.5343374392
84	0.8506656377	0.5325781947
85	0.8517267992	0.5284734951
86	0.8525950222	0.5239231434
87	0.8523056145	0.5208861527
88	0.8529808991	0.517661358
89	0.8538491221	0.5146985563
90	0.8547655798	0.5131011615
91	0.8563090874	0.510438837
92	0.8572737797	0.5066910452
93	0.8581420027	0.5030839535
94	0.8590102257	0.5018503909
95	0.8588172873	0.4984684097
96	0.8595408065	0.4950036195
97	0.8601196218	0.4922785994
98	0.8601196218	0.4888507387
99	0.860843141	0.485036012
100	0.8616631295	0.4819397173
101	0.8620490064	0.4794319413
102	0.8628207602	0.4772998207
103	0.8637854524	0.4745459258
104	0.8652807254	0.4726839472
105	0.8657630716	0.4679418347
106	0.8658595408	0.4651222295
107	0.8666312946	0.4639104762
108	0.8664865908	0.4612607755
109	0.8679818638	0.4592349689
110	0.8686089138	0.4573478368
111	0.8683195061	0.4549183949
112	0.8692841983	0.4524609262
113	0.8697183099	0.4502872126
114	0.870200656	0.4483946164
115	0.8706347675	0.4473020836
116	0.871068879	0.4464445532
117	0.8707794713	0.4433624368
118	0.8721782751	0.4411291836
119	0.8729017943	0.4385267284
120	0.8733841405	0.4364301714
121	0.8747347096	0.4343887261
122	0.8752652904	0.4334086308
123	0.875940575	0.4314672348
124	0.8762299826	0.4290572469
125	0.8758441057	0.4265427351
126	0.8770499711	0.4235597729
127	0.8784970095	0.4214663247
128	0.8786417133	0.4206917446
129	0.878931121	0.4188516695
130	0.8782558364	0.4169971334
131	0.8790275902	0.4149051455
132	0.8792687633	0.4135941909
133	0.8795581709	0.4103693019
134	0.8797511094	0.4094548226
135	0.8809087401	0.4078998687
136	0.8811016786	0.4055474892
137	0.8816804939	0.4033458429
138	0.8824040131	0.4014890458
139	0.8826934208	0.4000883108
140	0.8826934208	0.3980205815
141	0.8835616438	0.3966355321
142	0.8848157438	0.3946861519
143	0.8842369284	0.3933742552
144	0.8856839668	0.3904990672
145	0.8861663129	0.389812666
146	0.8873721783	0.387798235
147	0.887034536	0.3863887857
148	0.8883851052	0.3837951389
149	0.8879992282	0.3823537295
150	0.8888192167	0.3807174032
151	0.8889156859	0.3801578063
152	0.8900733166	0.3788406811
153	0.8896874397	0.3778177446
154	0.8910380089	0.376108454
155	0.8921956396	0.3744203368
156	0.8920991704	0.373057073
157	0.8930638626	0.3717370273
158	0.8941732587	0.3698668998
159	0.8968261625	0.3671654082
160	0.8969708663	0.3664763456
161	0.8970191009	0.3649378075
162	0.8977426201	0.3623069956
163	0.8983214355	0.3607017345
164	0.8993343623	0.3583099524
165	0.8995755354	0.3574401985
166	0.8994790662	0.3568109346
167	0.9009743392	0.354614564
168	0.9010708084	0.3540523293
169	0.9012155123	0.3529810875
170	0.9015049199	0.3519639684
171	0.901119043	0.350497476
172	0.9020837353	0.3485517934
173	0.9028072545	0.3468561395
174	0.9030966622	0.345699286
175	0.903241366	0.3447219463
176	0.9034343045	0.3434005817
177	0.9032896006	0.3428245219
178	0.9030966622	0.3421791484
179	0.9033378352	0.3410601667
180	0.9037719467	0.3397425704
181	0.9042060583	0.3379509889
182	0.9042542929	0.3368368118
183	0.9046884044	0.3352750748
184	0.9048813429	0.3338472549
185	0.905604862	0.3320997158
186	0.9054119236	0.3309621279
187	0.9063283812	0.3285895172
188	0.9069071966	0.3274999284
189	0.9078236543	0.3260981335
190	0.9097530388	0.3247770751
191	0.9103800888	0.3231810699
192	0.910476558	0.32238461
193	0.9106212618	0.3216985857
194	0.9108624349	0.3205561696
195	0.911344781	0.3197426109
196	0.9115859541	0.3190532422
197	0.9116824233	0.3181325687
198	0.9122612387	0.3161457407
199	0.9122612387	0.3153396715
200	0.9127918194	0.314213318
201	0.9127918194	0.3136164617
202	0.9136118078	0.3120909243
203	0.9137565117	0.3103773944
204	0.9137565117	0.3096173931
205	0.9143835616	0.3082761976
206	0.9144800309	0.3066672624
207	0.9153482539	0.305440106
208	0.9154929577	0.3045138978
209	0.9162164769	0.303626574
210	0.9162164769	0.3023096372
211	0.9170364654	0.3011654547
212	0.9170847	0.300254626
213	0.9178564538	0.2989514436
214	0.9184352691	0.2979343951
215	0.9193999614	0.296894925
216	0.9197858383	0.29595972
217	0.9197376037	0.2956724555
218	0.9205093575	0.2943408693
219	0.9207987652	0.293209876
220	0.920943469	0.2929530643
221	0.9210399383	0.2917151447
222	0.921570519	0.2905330433
223	0.9218116921	0.2899339732
224	0.9216669882	0.2894969412
225	0.9220046305	0.2888644979
226	0.9222940382	0.2877255675
227	0.9223422728	0.286909159
228	0.9227281497	0.2856110167
229	0.9228728536	0.2846199226
230	0.9230175574	0.2838423514
231	0.9229210882	0.283076203
232	0.9235963728	0.2815932712
233	0.923692842	0.2805710413
234	0.9237893112	0.2797608505
235	0.9239822497	0.2785815284
236	0.9238857804	0.278368029
237	0.9244645958	0.2779225418
238	0.9249469419	0.276728688
239	0.9253328188	0.2761771224
240	0.9254775227	0.2756741918
241	0.9264422149	0.2745179742
242	0.9263457457	0.2736371979
243	0.9262975111	0.2731332545
244	0.9271174995	0.2720985655
245	0.9274069072	0.2713235851
246	0.9276963149	0.2706995733
247	0.9282268956	0.269425831
248	0.9280821918	0.2686817037
249	0.9281304264	0.2682334139
250	0.9280821918	0.2679745532
251	0.9286610071	0.2676396901
252	0.9285163033	0.2667708547
253	0.928805711	0.2657153692
254	0.929046884	0.2649154236
255	0.928805711	0.2645993079
256	0.9292880571	0.2637224177
257	0.929673934	0.2630574254
258	0.9297704032	0.2625388562
259	0.9300115763	0.2619111703
260	0.9300115763	0.2609845617
261	0.9296256994	0.2601907867
262	0.9299151071	0.2600114614
263	0.9303974532	0.2588559032
264	0.9305903917	0.2582427019
265	0.9305421571	0.2574284366
266	0.930928034	0.2567108054
267	0.931796257	0.255361932
268	0.9318927262	0.2551933464
269	0.932423307	0.2543928119
270	0.93266448	0.2539597603
271	0.9327127146	0.2533597952
272	0.9329538877	0.2524931972
273	0.9333879992	0.251393905
274	0.9334362338	0.2507723662
275	0.9336291723	0.2506031446
276	0.9336291723	0.250049318
277	0.9337738761	0.2495148276
278	0.9340632838	0.2488850456
279	0.934159753	0.2482358803
280	0.9349315068	0.2473868286
281	0.9356067914	0.2463333215
282	0.936040903	0.2455957653
283	0.9360891376	0.2447698889
284	0.9360891376	0.2444150771
285	0.936282076	0.2439358163
286	0.9364267799	0.2434400455
287	0.9366679529	0.2427677756
288	0.9366679529	0.2419887206
289	0.937536176	0.2411436022
290	0.9378255836	0.2408817033
291	0.9378255836	0.2403698935
292	0.9378255836	0.2395907208
293	0.9378738183	0.2387424228
294	0.9385973374	0.2379047704
295	0.9398032028	0.2369649255
296	0.9398514374	0.236343528
297	0.9399479066	0.2354280125
298	0.9399479066	0.2346823072
299	0.9404784874	0.234012369
300	0.9406231912	0.2335383603
301	0.9408161297	0.2329627951
302	0.9412020066	0.2324886922
303	0.9412020066	0.2323358629
304	0.9411537719	0.2319858322
305	0.9415396489	0.2315204436
306	0.9419255258	0.2307575924
307	0.9417808219	0.2303369056
308	0.9419255258	0.2296940993
309	0.9421666988	0.2291508475
310	0.9425043411	0.2282125807
311	0.9429866872	0.227595399
312	0.9432278603	0.2267749396
313	0.9432760949	0.2260880438
314	0.9437584411	0.225731607
315	0.9439513795	0.2250519182
316	0.944144318	0.2245725631
317	0.9439031449	0.2240971413
318	0.9439513795	0.2238580644
319	0.9440478487	0.2236534441
320	0.9442890218	0.2230051502
321	0.9441925526	0.2225465445
322	0.9444819603	0.2219752423
323	0.9448196025	0.2214427538
324	0.9447231333	0.2210901089
325	0.9450607756	0.2208875141
326	0.9449160718	0.2204647311
327	0.9454466525	0.219493774
328	0.945012541	0.2187310406
329	0.9452054795	0.2183332463
330	0.9453984179	0.2177173836
331	0.9454466525	0.2171520165
332	0.9457360602	0.2168776115
333	0.945639591	0.2164490347
334	0.9460254679	0.2159224342
335	0.9460254679	0.2156525747
336	0.9460737025	0.2153654752
337	0.9464595794	0.2145353829
338	0.9466042832	0.2141978819
339	0.9467489871	0.2136644514
340	0.947134864	0.2127531281
341	0.947134864	0.2124084908
342	0.9472795678	0.2115427643
343	0.9474242717	0.2109007588
